wkb_geometry;descrizione;tipologia;tratto isolato ciclabile;tratto isolato ciclopedonale;anno;gestione;itinerario;Tipo CdS;Ordinanza;Monodirezionale;intervento 2026;Esist_prog
"LINESTRING (663543.82426116 5101288.49411276,663550.223888086 5101278.84310375,663589.41623929 5101230.07006233,663604.680593539 5101212.93851727,663614.581808246 5101200.55420984,663627.452527563 5101183.83538703,663643.748347395 5101163.40136517,663667.470090538 5101131.96638522,663678.196467885 5101118.34360046,663705.547305306 5101087.50736281,663716.273633521 5101075.53585527,663726.381151171 5101062.73874794,663736.694971763 5101049.73527948,663741.232997796 5101042.71752597,663741.439300739 5101036.52537225,663751.236307648 5101025.93721407,663766.500711028 5101011.48882952,663779.90863358 5100999.31096085,663791.63223189 5100993.7205773,663798.413059314 5100988.78592215,663812.591117285 5100974.59902153,663824.765791405 5100958.71581379,663857.359101536 5100918.70007723,663875.38994926 5100894.95232108,663909.077269306 5100853.62512771,663930.806830566 5100825.35970876,663964.633094342 5100778.74352157,663974.341959436 5100766.40696135,663992.464240781 5100745.38887072,664005.10124181 5100727.96362206,664013.114924614 5100715.9355166,664035.22884118 5100681.02345256,664042.16379395 5100668.07013808,664047.403515299 5100659.89721255,664067.344544522 5100632.68013608,664077.053458748 5100612.17065032,664085.68364294 5100593.82011501,664085.991844502 5100585.7322028,664077.46188846 5100578.14528698,664073.038928275 5100573.40340636,664074.618553403 5100560.75854664,664079.673343988 5100551.27486304,664087.887433961 5100545.90077825,664097.365135602 5100539.57827076,664105.895140774 5100528.51403792,664121.059512529 5100511.44336085,664136.445811028 5100493.62712851,664149.69852734 5100478.38862461,664161.207421231 5100465.0113304,664166.438741103 5100458.03192994,664179.156219441 5100440.64169591,664182.178786015 5100435.40704851,664186.131361733 5100426.79904105,664189.851398318 5100416.3298239,664192.873964892 5100406.09328707,664204.03422204 5100364.05384502,664215.124172089 5100322.46827323,664218.262983665 5100310.6031294,664223.307849697 5100279.92899937,664226.446661273 5100262.13132245,664229.004198707 5100248.05598726,664230.282991991 5100236.30714478,664230.980511134 5100226.30321064,664232.724333556 5100204.36456925,664231.625783277 5100193.82981641,664231.127077219 5100190.89156865,664226.982486394 5100161.63357478,664227.55457673 5100112.79680653,664236.120776823 5100061.73843969,664236.094839859 5100048.12838752,664236.12748534 5099978.40823584,664237.485857954 5099828.66418101,664248.700455066 5099606.7272115,664253.439772634 5099360.10299186,664255.809431419 5099316.55341802,664260.548798119 5099078.43837299,664265.551411108 5098855.05113078,664270.554073229 5098594.12145768,664271.870550331 5098536.15991138,664275.820030769 5098343.24121444,664277.136507872 5098322.42777691,664277.926394134 5098296.87199293,664278.452984974 5098277.11233252,664282.929007122 5098095.37820693,664288.721555505 5097835.34346414,664293.197577653 5097641.49008637,664297.147058092 5097498.74819893,664297.877918823 5097324.06827912,664298.484329411 5097313.45609383)";Percorso ciclopedonale - lungo Adige (tratto tra il ponte di Ravina e il ponte di Mattarello);Ciclovia PAT_Itinerario Eurovelo-Bicitalia;;;;PAT;"1";2.1 PRO PED;;;;E
"LINESTRING (664221.268931658 5103372.31810393,664223.702854693 5103362.36552755,664228.55080421 5103357.14103827,664233.469354934 5103333.58376901,664232.016993495 5103329.83567441,664240.934249032 5103279.7754187)";"Pista ciclabile monodirezionale in direzione nord-sud, in via Santa Croce civici 32-78";"Ciclabile su corsia riservata, ricavata dalla carreggiata stradale, ad unico senso di marcia";;;2023;;"4";1.2 PCCR carr;1566/2023;Mono;MANUTENZIONE;E
"LINESTRING (663680.229205885 5106801.69679412,663689.918224414 5106797.41220715,663703.720443897 5106796.98088779,663712.131171394 5106798.27484587,663721.835856967 5106800.43144266,663727.658668311 5106806.03859433,663735.42241677 5106810.99876695,663740.382589396 5106814.44932183,663746.636720099 5106820.27213317,663750.734254008 5106826.31060419,663753.53782984 5106834.93699137,663754.184808878 5106841.40678175,663755.694426634 5106845.93563502)";Pista ciclabile via Trener: tratto nel parco;Ciclabile;;;2024;;"2";1.1 PCSP;;Mono;;E
"LINESTRING (663754.601426567 5103612.28979387,663856.098139872 5103629.81074059)";Percorso ciclopedonale tra via Inama e civ. 22 di via Verdi;Ciclopedonale;;;2019;;"15";2.1 PRO PED;185/2019;;NESSUNO;E
"LINESTRING (663859.860629766 5102354.98931181,663859.860629766 5102354.25946925,663864.787067035 5102351.34009902,663874.457480934 5102346.04874047,663883.398052275 5102341.66968512,663893.615848093 5102337.10816913,663904.38102583 5102331.81681058,663913.244065696 5102328.44891562,663929.560594096 5102323.97100307,663942.06068356 5102321.60496888,663953.84159498 5102319.42253385,663964.457128473 5102318.0876464,663979.289211197 5102317.49436309,663994.629822472 5102317.79100475,664011.750283673 5102319.06232613,664017.047456075 5102320.03700585)";Pista ciclabile via Muredei-via San Pio X;Ciclabile;;;2016;;"0";1.1 PCSP;;;;E
"LINESTRING (664031.705020808 5102321.77260674,664179.013799414 5102343.76833821,664235.08 5102352.61)";Pista ciclabile da via S.Pio X a via cauriol;Ciclabile;;;2016;;"0";3.1 PRO CARR;;;;E
"LINESTRING (663617.756296875 5103255.02282031,663735.910046875 5103272.74588281)";Percorso ciclopedonale parco Albere;Ciclopedonale;;120;;;"0";2.1 PRO PED;;;NESSUNO;E
"LINESTRING (664536.781993686 5101602.81671331,664513.62866835 5101629.90830983)";Pista ciclabile - via A. Degasperi: tratto fronte civ.61;Ciclabile;;;;;"3";1.3 PCCR marc;;;MANUTENZIONE;E
"LINESTRING (664951.878298012 5103191.75470734,665023.559713942 5103265.3535274,665081.966793588 5103326.26798168)";Pista ciclabile monodirezionale O-E lato sud viale Bolognini: tratto tra piazza Vicenza e via Regina Pacis;Ciclabile;;;2023;;"7";1.1 PCSP;1567/2023;Mono;MANUTENZIONE;E
"LINESTRING (663530.133217452 5103573.15348919,663537.149123822 5103576.20388326,663754.601426567 5103612.28979387)";Percorso ciclopedonale - sottopasso via G. Verdi;Ciclopedonale;;;2020;;"15";2.1 PRO PED;1057/2020;;NESSUNO;E
"LINESTRING (664105.249606928 5102097.59331634,664127.442062676 5102146.48888109,664151.554793869 5102195.8331034,664174.879898848 5102242.64687865,664194.856155318 5102277.36368376,664216.624530421 5102313.38783088,664235.612655244 5102344.970866,664247.166651803 5102363.23421413,664273.202110679 5102402.64047784,664290.741650666 5102430.70374182,664300.096071992 5102444.03379221,664308.601561879 5102459.65669786,664325.434369862 5102487.01001083)";Percorso ciclopedonale - lungo Fersina;Ciclopedonale;;;;;"7";2.1 PRO PED;;;REVISIONE CON MANUTENZIONE;E
"LINESTRING (664271.691233222 5103214.1096159,664273.324588235 5103209.504,664285.484117647 5103181.27152941,664288.698705883 5103165.61788235,664293.310941177 5103145.63152941,664296.421631162 5103133.5411303,664295.590212767 5103129.06289693,664291.144588236 5103124.10776471)";Pista ciclabile - corso 3 Novembre: tratto fronte commissariato;Ciclabile;;;;;"4";1.1 PCSP;;;MANUTENZIONE;E
"LINESTRING (663931.116985434 5102660.58310717,663933.403887721 5102666.40431299,663930.291329558 5102676.11079259,663914.370967129 5102726.76793471,663903.797598739 5102760.65457286,663898.366205808 5102762.57764979,663892.709251488 5102761.93468867,663891.126325311 5102767.36729521,663890.050197492 5102770.06205727,663887.347494789 5102771.56933378,663880.966511086 5102773.10865244,663887.893232835 5102795.32193253,663899.171819113 5102845.32193253)";Pista ciclabile via Bezzi: tratto da via Vittorio Veneto alla rotatoria di via Giusti;Ciclabile;;;;;"3";1.3 PCCR marc;;;NESSUNO;E
"LINESTRING (664186.989770526 5102750.64013118,664149.421097327 5102872.09637277,664139.742522212 5102905.67510276,664136.582171155 5102911.60076099,664130.518247562 5102930.83939805,664126.785082875 5102937.57489625)";Pista ciclabile - via P.A. Mattioli;Ciclabile;;;;;"11";1.3 PCCR marc;;;MANUTENZIONE;E
"LINESTRING (663255.550569853 5102810.70163603,663373.194850592 5102823.74339161)";Passerella ciclopedonale sul fiume Adige quartiere Albere;Ciclopedonale;;;2017;;"8";2.1 PRO PED;;;NESSUNO;E
"LINESTRING (664775.085677155 5101032.60642395,664756.824005165 5101056.38320463)";Pista ciclabile - via A. Degasperi: fronte ingresso palazzo Stella;Ciclabile;;;;;"3";1.3 PCCR marc;;;NESSUNO;E
"LINESTRING (664089.417310712 5102715.8440998,664169.447072617 5102741.48398075,664172.408382141 5102740.02564742,664176.75985442 5102740.43545665)";Pista ciclabile - via V. Veneto: tratto tra via Bezzi e rotatoria via Mattioli;Ciclopedonale;;;;;"0";2.1 PRO PED;;;;E
"LINESTRING (663530.840361357 5101293.40517604,663472.602656558 5101371.83028044,663426.24625275 5101426.61147347,663350.661142719 5101522.75884716,663315.748049231 5101577.45680819,663292.090985416 5101619.96250845,663270.906629215 5101666.65479851,663253.678270875 5101716.68420598,663238.295372613 5101771.19020862,663230.366543112 5101814.48492433,663224.000028012 5101861.8269477,663211.430698023 5102022.30831749,663210.933187234 5102061.8109717,663211.500222313 5102110.12176376,663221.353082177 5102150.49121143,663227.059140236 5102242.95667178,663222.909459467 5102268.03865226,663224.690711042 5102284.11822628,663231.756790486 5102325.83633195,663235.952265336 5102369.49106163,663242.315588236 5102442.33148789,663246.836944118 5102519.97559118,663247.437883823 5102533.02456765,663245.720913235 5102547.10372647,663245.806761764 5102564.87437206,663246.665247059 5102600.15811765,663252.502947059 5102692.01604412,663255.550569853 5102810.70163603)";Pista ciclabile argine dx fiume Adige da area ex Michelin al ponte di Ravina;Ciclopedonale;;;2017;;"1";2.1 PRO PED;;;;E
"LINESTRING (664762.729116179 5102124.79629631,664764.304709932 5102122.69550465,664765.705678682 5102091.35957753,664763.357501596 5102087.32468169,664763.291355762 5102068.47311918,664765.573387015 5102052.46582749,664769.641355769 5102035.26791081,664779.11808916 5102000.48260582)";Percorso ciclabile - viale Verona (dal civ.156 viale Verona all'intersezione via Einaudi);Ciclabile;;;;;"4";1.3 PCCR marc;;;REVISIONE CON MANUTENZIONE;E
"LINESTRING (664074.013804276 5103412.45714709,664075.190157168 5103425.32679891,664042.884346356 5103432.06888117,664042.462966215 5103504.33557535)";Pista ciclabile via Esterle: tratto tra via Borsieri e via del Travai;Ciclabile;;;;;"11";1.3 PCCR marc;;;PROGETTAZIONE;E
"LINESTRING (664087.217048695 5103322.91386712,664074.013804276 5103412.45714709)";Pista ciclabile via 24 Maggio;Ciclopedonale;;;;;"11";2.1 PRO PED;;;PROGETTAZIONE;E
"LINESTRING (664126.785082875 5102937.57489625,664124.612341523 5102945.04122562,664125.915986335 5102947.96455035,664112.144735047 5102991.63582914,664106.657597076 5102996.04139081,664103.299724078 5103026.36759285,664106.583169767 5103033.99848555,664094.653696881 5103131.45557538,664090.700366723 5103191.69122788,664090.658319845 5103210.40536945,664092.178833081 5103228.19956377,664097.347729584 5103279.45904006,664092.133150339 5103312.37936358,664087.217048695 5103322.91386712)";Pista ciclabile - via Mons. C. Endrici;Ciclabile;;;;;"11";1.3 PCCR marc;;;MANUTENZIONE;E
"LINESTRING (663882.313596842 5102603.85225798,663873.340218282 5102597.97266019,663859.306954249 5102595.89365811,663847.471783567 5102597.9937698,663844.520051962 5102606.93835665,663837.113607055 5102613.53918825,663837.824528142 5102624.19413648,663837.911408138 5102631.39284711,663844.052258334 5102637.37103557,663849.873482315 5102660.08284729,663863.335020777 5102657.32816954,663867.920890649 5102643.41997127,663870.663503105 5102641.63170384,663900.309599641 5102651.15915043)";Pista ciclabile - rotatoria via Vittorio Veneto;Ciclabile;;;;;"0";1.3 PCCR marc;;;;E
"LINESTRING (664265.451750924 5103275.76979038,664268.636033059 5103261.68311158,664268.217623017 5103248.08478522,664266.54398285 5103234.27725384,664266.54398285 5103225.909053,664271.691233222 5103214.1096159)";Percorso ciclabile - via Santa Croce: tratto compreso tra l'ingresso al centro Santa Chiara e la chiesa di San Michele;Ciclopedonale;;;;;"4";2.1 PRO PED;;;MANUTENZIONE;E
"LINESTRING (664550.478764508 5103697.35735713,664508.786510404 5103576.94505208)";Percorso ciclopedonale - via Paradisi;Ciclopedonale;;120;;;"8";2.1 PRO PED;;;REVISIONE CON MANUTENZIONE;E
"LINESTRING (664265.451750924 5103275.76979038,664264.646078915 5103279.28545006,664263.034734895 5103281.84895191,664259.885289765 5103282.58138101,664253.879371146 5103282.21516646,664240.934249032 5103279.7754187)";Percorso ciclabile - via Santa Croce: tratto in prossimità dell'ingresso al centro santa chiara;Ciclabile;;;;;"4";1.1 PCSP;;;MANUTENZIONE;E
"LINESTRING (663410.657400367 5103697.98911177,663410.62732996 5103690.44670289,663398.458419685 5103650.98513766,663388.136091961 5103613.72034795,663358.537535101 5103527.13302744,663341.106569976 5103476.23707829,663311.117222532 5103358.22704873,663302.159365503 5103309.93251519,663285.801539624 5103211.39608787,663273.338434193 5103101.56497126,663274.506850327 5103077.41770448,663267.885825567 5103006.1443203,663262.043744896 5102960.57609106,663255.422720135 5102841.00817333,663255.550569853 5102810.70163603)";Pista ciclabile Piedicastello: tratto dall'ingresso della Motorizzazione civile alla passerella pedonale sul fiume Adige;Ciclopedonale;;;2023;;"1";2.1 PRO PED;;;;E
"LINESTRING (664690.463809495 5102460.22998783,664841.740537516 5102505.64468389,664844.240703568 5102505.89470049,664846.574191883 5102505.64468389,664849.32437454 5102504.64461747,664851.407846249 5102503.47787331,664854.408045511 5102501.3944016,664859.158361009 5102497.72749139,664861.325171588 5102495.97737515,664872.825935425 5102506.22805597,664882.9099385 5102495.97737516,665009.335001845 5102390.97040099)";"Percorso ciclopedonale - Via Fogazzaro, Gocciadoro e Cosina Sartori";Ciclopedonale;;;2016;;"0";2.1 PRO PED;;;;E
"LINESTRING (665086.687467057 5102141.29941435,665083.869019033 5102136.64897511,665079.359502196 5102090.42642753,665080.909648609 5102084.36676428,665084.432708638 5102078.16617862,665085.419165446 5102072.67020498,665083.587174231 5102065.48316252,665078.725351391 5102060.65657028,665073.229377745 5102059.95195827)";Percorso ciclopedonale all'interno dell'area verde in via San Bartolameo tra i civ. 4/a � 4/2;Ciclopedonale;;100;2017;;"0";2.1 PRO PED;;;;E
"LINESTRING (663400.816110182 5102106.22479777,663400.047872468 5102086.70663488,663403.797255928 5102075.56158438,663424.239398188 5102048.3053947,663430.35981997 5102042.2517093,663435.312225245 5102039.78783542)";Pista ciclabile via del Maso Smalz: tratto tra il passo carraio ovest del civ.17 e l'intersezione con via R. Sanseverino;Strada ciclabile urbana;;;2023;;"6";3.2 SUC E-bis;;;;E
"LINESTRING (664550.478764508 5103697.35735713,664480.527030725 5103719.83197101)";Percorso ciclopedonale - via Grazioli (tra via Paradisi e Largo Porta Nuova);Ciclopedonale;;80;;;"15";2.1 PRO PED;;;REVISIONE CON MANUTENZIONE;E
"LINESTRING (664469.398666062 5103093.93662565,664419.618469445 5103165.22798179)";Pista ciclopedonale - via Prato;Ciclopedonale;;;;;"8";2.1 PRO PED;;;MANUTENZIONE;E
"LINESTRING (664508.786510404 5103576.94505208,664611.676354259 5103541.12708329,664588.261660144 5103476.83095065)";Percorso ciclopedonale - via Pilati / via Brigata Acqui;Ciclopedonale;;187;2020;;"8";2.1 PRO PED;715/2020;;REVISIONE CON MANUTENZIONE;E
"LINESTRING (664450.864263868 5102190.54517481,664459.024347029 5102191.48072575,664446.649913495 5102328.62209285)";Percorso ciclabile su via Gramsci;Ciclabile;;265;2017;;"0";1.3 PCCR marc;;;;E
"LINESTRING (664549.366490274 5103244.13362434,664540.444837124 5103237.75176657,664534.491912553 5103246.14393828,664529.513029059 5103251.31595197,664521.892294359 5103252.46712691,664517.272633665 5103252.94215629,664514.766853701 5103250.94703291,664498.995878377 5103229.47570506,664472.287351639 5103203.18282902,664451.112917154 5103185.67799648,664426.197626319 5103170.31079612,664426.292632195 5103166.15428907,664421.213264534 5103162.94403933)";"Percorso ciclopedonale in via dei Mille, dall'intersezione con via Piave al num. Civ.10 (lato ovest)";Ciclopedonale;;;2020;;"8";2.1 PRO PED;715/2020;;REVISIONE CON MANUTENZIONE;E
"LINESTRING (664588.261660144 5103476.83095065,664599.36427105 5103473.11007705,664596.950159291 5103466.06444535,664574.04256263 5103400.86189982)";Percorso ciclopedonale in via Brigata Acqui nel tratto compreso tra via S. Bernardino (lato est) e via Barbacovi;Ciclopedonale;;;2020;;"8";2.1 PRO PED;715/2020;;REVISIONE CON MANUTENZIONE;E
"LINESTRING (664574.04256263 5103400.86189982,664531.511639248 5103281.20640423,664532.889224441 5103276.69362515,664535.549388954 5103272.56086956,664538.209553466 5103265.34042303,664538.162050528 5103262.58525264)";"Percorso ciclopedonale in via Piave, dall'intersezionecon via S. Bernardino all'intersezione con via Abba";Ciclopedonale;;;2020;;"8";2.1 PRO PED;;;REVISIONE CON MANUTENZIONE;E
"LINESTRING (664596.950159291 5103466.06444535,664761.464063482 5103409.78477539)";Pista ciclabile in via Barbacovi (lato nord) da intersezione via Brigata Acqui al civ.7 di via Barbacov;Ciclabile;;;2020;;"14";1.3 PCCR marc;860/2020;;;E
"LINESTRING (663546.224262039 5103769.49129772,663572.732144041 5103763.18857931,663574.182919775 5103756.82128581,663573.376859539 5103752.46514573,663570.469298246 5103742.08575336,663559.033401975 5103709.63928199,663533.594677068 5103633.11192003,663513.865071451 5103573.99988734,663494.654897489 5103518.80118603,663479.795312314 5103470.37724689,663463.32785478 5103421.0460153,663454.936741479 5103376.76967811,663443.114368541 5103329.55215671,663435.504482206 5103288.31855223,663428.876946787 5103250.03676388,663420.339700682 5103200.54986655,663412.717578422 5103146.80815721,663408.57307192 5103136.32310234,663410.946483531 5103123.79008881,663406.915864412 5103069.23644626,663404.857748018 5103020.60059182,663404.143719102 5102994.83026099,663404.066226656 5102966.51225983,663402.315203574 5102888.95228704,663401.4855163 5102826.83643813,663399.754791316 5102750.36765163,663397.800779219 5102661.56273279,663396.852150677 5102610.41914873,663395.7221175 5102555.5252778,663394.937834394 5102496.67289953,663386.489314974 5102153.72019491,663382.195561246 5102120.27926344)";Percorso ciclopedonale via R. da Sanseverino: dall'intersezione con Lungadige Monte Grappa al sovrapasso della tangenziale ovest;Ciclopedonale;;;;;"6";2.1 PRO PED;;;;E
"LINESTRING (664662.459568823 5102473.24554695,664598.504136403 5102635.51485429,664563.06395083 5102727.16841672,664541.228192908 5102758.37023875,664536.957641205 5102759.76470461,664533.297168316 5102765.34256806,664534.287897088 5102767.96401115,664519.092513147 5102785.63366875)";Pista ciclabile - viale Verona;Ciclabile;;;;;"4";1.3 PCCR marc;;;REVISIONE CON MANUTENZIONE;E
"LINESTRING (663458.482097536 5103918.33586935,663419.971965808 5103788.73100736,663415.765387867 5103784.52442941,663395.122060454 5103710.80762422,663413.271199076 5103704.62030745)";Pista ciclabile Piedicastello: tratto tra il ponte di San Lorenzo e l'ingresso della Motorizazzione Civile;Ciclabile;;;2023;;"1";1.1 PCSP;;;;E
"LINESTRING (664453.725460042 5102892.63115506,664441.349575513 5102883.74143519,664440.007049941 5102875.54581632,664449.243892773 5102872.68315842,664459.446433545 5102860.39454898,664466.247034325 5102851.37663309,664480.958619772 5102832.16182312,664487.814405175 5102823.48936251,664499.368755193 5102807.87945489,664519.092511744 5102785.63378936)";Pista ciclabile - corso 3 Novembre;Ciclabile;;;;;"0";1.3 PCCR marc;;;;E
"LINESTRING (664056.042075755 5102108.95538166,664053.20995299 5102131.82837315,664064.250431567 5102142.34082884,664064.070441282 5102149.00046934,664062.042335852 5102164.03776935,664056.762106967 5102186.21473066,664050.521836468 5102216.84005818,664046.171835434 5102243.60467355,664040.63340783 5102268.39429292,664037.795646825 5102279.01474127,664031.705020808 5102321.77260674,664018.720274416 5102367.73287023,664012.457746303 5102397.63503149,664006.756226406 5102425.90227334,664004.57848685 5102438.0185276,664008.35316412 5102442.99750667,664006.483800139 5102449.37850872,664001.756466225 5102452.64989569,663997.91155595 5102464.0987762,663989.895208462 5102485.26769382,663968.150265877 5102519.44517533,663963.302055719 5102527.07750617,663936.99691546 5102550.88653823,663926.052441046 5102556.35877544,663898.115230041 5102583.04793234,663882.313596842 5102603.85225798)";Pista ciclabile - via San Pio X;Ciclabile;;;;;"3";1.3 PCCR marc;;;NESSUNO;E
"LINESTRING (665082.809706229 5102355.30060076,665100.686087692 5102351.76356272,665116.841747944 5102347.0793772,665130.03394389 5102341.6304267,665146.09400852 5102333.98277688,665160.624543185 5102325.47476645,665171.809231052 5102317.06235164,665175.633055964 5102314.00329171,665177.162585929 5102312.71275081,665210.143075793 5102348.46551373,665217.21715188 5102354.10565548)";"Pista ciclabile contigua al marciapiede tra le vie Gocciadoro e Crosina Sartori (lungo le arcate della ferrovia ""Trento-Bassano"" e la strada d'accesso al parco Gocciadoro)";Ciclabile;;;2021;;"0";1.3 PCCR marc;273/2021;;;E
"LINESTRING (664610.722505726 5102895.07828048,664590.635190218 5102923.03192935,664553.599864131 5102975.76019022,664476.947672067 5103083.34159088,664469.398666062 5103093.93662565)";Pista ciclopedonale - via Prato;Ciclopedonale;;;;;"0";2.1 PRO PED;;;;E
"LINESTRING (664294.519549436 5103113.14711542,664414.559406578 5103166.0592832,664419.618469445 5103165.22798179)";Pista ciclopedonale - via Piave (da corso III Novembre a via dei Mille);Ciclopedonale;;;2020;;"0";2.1 PRO PED;715/2020;;REVISIONE CON MANUTENZIONE;E
"LINESTRING (664176.75985442 5102740.43545665,664180.771477379 5102727.92743313,664181.653173808 5102725.59856408,664183.09290595 5102724.35600456,664185.581745236 5102724.4676117,664192.78040595 5102726.75183789,664195.161358331 5102725.73993313,664196.757340474 5102721.19008194,664202.799007141 5102723.2473736)";Pista ciclabile - via V. Veneto: tratto tra via Mattioli e via Lorenzoni;Ciclabile;;;;;"11";1.3 PCCR marc;;;MANUTENZIONE;E
"LINESTRING (663382.195561246 5102120.27926344,663377.565824006 5102081.36597373,663363.39657338 5101989.95097415,663358.153688068 5101951.54320863,663356.251534138 5101896.0005032,663364.054379582 5101822.59363179,663369.272284543 5101798.70810821)";Percorso ciclopedonale via R. da Sanseverino: dal sovrapasso della tangenziale ovest al civ.129;Ciclopedonale;;;;;"0";2.1 PRO PED;;;;E
"LINESTRING (663736.11718283 5102153.36300928,663701.79825829 5102143.27565766,663679.540297646 5102134.17511218,663642.335057114 5102117.05084584,663580.201813195 5102088.4530945)";Corsia ciclabile in del Maso Smalz: tratto tra via Ghiaie e il civ.11 (dir.est-ovest);Corsia ciclabile;;;2023;;"6";3.4 CC 12-bis;;Mono;;E
"LINESTRING (665185.972462474 5103477.69107616,665204.39 5103459.79)";Pista ciclabile centrale sul ponte delle Dame di Sion;Ciclabile;;;2023;;"15";1.3 PCCR marc;1567/2023;;NESSUNO;E
"LINESTRING (664662.459568823 5102473.24554695,664674.230115834 5102442.34645436)";Percorso ciclopedonale - viale Verona: tratto antistante civ.64;Ciclopedonale;;;;;"0";2.1 PRO PED;;;;E
"LINESTRING (663882.313596842 5102603.85225798,663879.490422705 5102610.79313502,663878.386374847 5102616.6013868,663879.490422705 5102623.0816677,663882.658560035 5102629.03392572,663888.322805565 5102632.29806721,663904.739646557 5102637.09038368,663900.309599641 5102651.15915043,663931.116985434 5102660.58310717)";Percorso ciclabile da via Bezzi a via San Pio X;Ciclabile;;;;;"3";1.3 PCCR marc;;;NESSUNO;E
"LINESTRING (663929.04667228 5105459.90723641,664070.407487467 5105130.93167772)";Pista ciclabile - via del Brennero (tratto dal passo carraio del civ.79 all'ingresso dello scalo ex Filzi);Ciclabile;;;;;"4";1.3 PCCR marc;;;MANUTENZIONE;E
"LINESTRING (663596.978860304 5105301.47931182,663550.598484058 5105375.78219761,663527.027534442 5105415.59897097,663503.16648083 5105454.54543233,663492.867788997 5105471.37146406,663489.096437058 5105486.60192381,663491.707373016 5105506.90920348,663499.322602892 5105540.27116294,663502.586272839 5105550.93248476,663508.237054829 5105561.83953464)";Pista ciclabile - via E. Maccani: da rotatoria Caduti di Nassiriya a civ.36/5;Ciclabile;;;;;"5";1.3 PCCR marc;;;MANUTENZIONE;E
"LINESTRING (663772.906328714 5104341.33490535,663722.609236501 5104159.53338135)";Percorso ciclopedonale - corso Buonarroti (tratto tra civ.46-72);Ciclopedonale;;;2020;;"5";2.1 PRO PED;;;MANUTENZIONE;E
"LINESTRING (664701.340584027 5102939.51495913,664771.168505697 5103010.9015425)";Percorso pedonale e ciclabile in viale Bolognini: tratto compreso tra il civ. 20 di viale Bolognini e via Adamello;Ciclopedonale;;;2023;;"7";2.1 PRO PED;1567/2023;;MANUTENZIONE;E
"LINESTRING (664605.491867334 5102839.89261294,664543.987442555 5102776.10205247)";Corsia ciclabile monodirezionale E-O lato nord viale Bolognini: tratto tra via Bolghera e viale Verona;Corsia ciclabile;;;2023;;"7";3.4 CC 12-bis;1567/2023;Mono;MANUTENZIONE;E
"LINESTRING (664270.217065731 5102540.10963086,664283.177429641 5102550.07740616,664305.403254273 5102574.47184904)";Percorso ciclopedonale in via Matteotti (lato nord) nel tratto compreso tra via Lorenzoni e via Buccella;Ciclopedonale;;;2020;;"11";2.1 PRO PED;964/2020;;MANUTENZIONE;E
