wkb_geometry;descrizione;tipologia;tratto isolato ciclabile;tratto isolato ciclopedonale;anno;gestione;itinerario;Tipo CdS;Ordinanza;Monodirezionale;intervento 2026;Esist_prog
"LINESTRING (663334.033541497 5104525.31927057,663325.566874822 5104526.50989557,663325.566874822 5104526.50989557,663302.548124798 5104533.25677057,663292.428141354 5104538.85472846,663289.066749589 5104543.1839157,663286.168503432 5104549.60104729,663285.182065308 5104556.60618461,663285.877979281 5104565.00219132,663289.405243211 5104573.56493781,663281.66472364 5104578.26568361,663286.048496487 5104588.18189275,663287.573643788 5104597.76617216,663286.687321861 5104615.81904473,663284.504586937 5104649.81418292,663278.690180142 5104658.54300438,663269.792638581 5104660.96918809,663262.776688518 5104659.06242984,663254.758166395 5104653.70490842,663223.986348784 5104621.13269244,663217.45102051 5104614.5320938,663211.252013002 5104610.07331906,663197.036473892 5104604.92626278,663181.723172335 5104590.21407425,663163.566266004 5104577.16546835,663152.914970599 5104569.23617066,663142.02697974 5104563.79217523,663123.683082098 5104553.96931391,663121.656898381 5104540.517721,663079.302684577 5104540.00428216,663060.722091481 5104535.44789468,663051.5 5104536.3,663044.419692125 5104541.01023784,663040.8668836 5104543.40270693,663037.243029411 5104550.007694,663037.200480795 5104561.83943774,663037.555523976 5104595.56853986)";Pista ciclabile - Centro sportivo Vela – via Dos Trento;Ciclopedonale;;;;;"12";2.1 PRO PED;;;MANUTENZIONE;E
"LINESTRING (664210.333647028 5104593.65286462,664143.653575702 5104652.99352761)";Percorso ciclopedonale in piazza di Centa da via Segantini a via Vannetti;Ciclopedonale;;;2017;;"12";2.1 PRO PED;;;MANUTENZIONE;E
"LINESTRING (663589.315414303 5102079.76392078,663596.535578298 5102080.14392941,663649.736786684 5102105.60450771,663651.446825525 5102106.7445336,663652.776855735 5102116.05474507)";"Pista ciclabile via del Maso Smalz: tratto antistante il parco, tra il civ.3 e il civ.11";Ciclabile;;;2023;;"6";1.3 PCCR marc;;Mono;;E
"LINESTRING (664370.855312446 5102787.5103125,664362.851666604 5102803.05458335,664367.457274846 5102808.5516469)";Pista ciclabile Via Vittorio Veneto tra civici 138-130;Ciclabile;;;;;"0";1.3 PCCR marc;;;;E
"LINESTRING (664335.847036547 5102771.08739384,664368.870937444 5102780.36656249,664370.855312446 5102787.5103125)";Percorso ciclopedonale Via Vittorio Veneto (tra via Ortigara e via Asilo Pedrotti);Ciclopedonale;;;;;"0";2.1 PRO PED;;;;E
"LINESTRING (664141.333134565 5102638.01698223,664126.540386887 5102684.90697498,664121.394409398 5102690.02542429,664117.080480084 5102704.21461348)";Percorso ciclopedonale - via V. Veneto (ex caserme duca d'Aosta): lato ovest civ.68-72;Ciclopedonale;;;2020;;"0";2.1 PRO PED;;;;E
"LINESTRING (664876.575987675 5102929.41620272,664914.953880833 5102907.26116875,664962.64898247 5102893.4511298,664997.572024 5102891.7593)";Percorso ciclopedonale - via Adamello;Ciclopedonale;;135;;;"14";2.1 PRO PED;;;;E
"LINESTRING (664355.334118338 5102175.36845964,664358.114783618 5102177.23956151,664445.649426782 5102180.9062385,664446.654284658 5102183.42459269,664448.785261789 5102189.08987336,664450.864263868 5102190.54517481)";Percorso ciclopedonale - via A. Gramsci: tratto tra i civ. 42-48;Ciclopedonale;105;;2017;;"0";2.1 PRO PED;;;;E
"LINESTRING (663334.033541497 5104525.31927057,663399.067836483 5104515.65785554,663403.610473373 5104517.46711709,663403.829146293 5104521.00232929,663400.913507366 5104541.37535629,663394.863556594 5104576.18079597,663393.187064212 5104594.33064828,663392.968391292 5104612.91784644,663393.679857525 5104649.76624612,663396.102703138 5104694.70151831,663398.143650386 5104699.3665406,663401.496635152 5104701.99061563,663405.432747702 5104705.0520365,663407.911040789 5104708.69658516,663409.660424145 5104713.07004355,663409.951988038 5104722.10852422,663411.555589447 5104727.79402013,663422.48923542 5104741.06017724,663439.709643194 5104755.30929003,663465.404681661 5104772.0125992,663484.533256632 5104782.15124337,663594.310300461 5104833.8932895,663600.053867358 5104834.24289792,663608.744133794 5104829.09865975,663614.487700692 5104820.55822549,663623.391188376 5104824.99668982,663625.275617647 5104831.04647809,663630.097474402 5104832.93073919,663636.424241628 5104832.53834855,663651.679281011 5104829.25099142)";Percorso ciclopedonale via Dos Trento-via Druso-via F.lli Fontana fino al civ. 2/1;Ciclopedonale;;;2017;;"12";2.1 PRO PED;;;MANUTENZIONE;E
"LINESTRING (664143.653575702 5104652.99352761,664140.111771042 5104653.36275049,664128.447063028 5104658.57289557,664130.361552033 5104663.27706855,664102.860437936 5104689.89968311,664095.35375307 5104696.09688008,664089.938484168 5104700.03525747,664069.754300079 5104707.41971506,663918.171214315 5104750.27350022,663913.521741015 5104750.05470148,663910.677357349 5104747.31971718,663909.255165517 5104742.42409529,663896.753020654 5104746.2424775,663898.618264443 5104752.34196084,663895.347639719 5104756.08361257,663876.910309322 5104762.0793892,663853.691406611 5104769.85937498)";Percorso ciclopedonale in via F.lli Fontana dal civ. 33 all'incrocio di via Segantini;Ciclopedonale;;;2017;;"12";2.1 PRO PED;;;MANUTENZIONE;E
